,Unnamed: 0,Tarih,Şimdi
503,503,22.08.2019,277.785
504,504,21.08.2019,276.656
505,505,20.08.2019,277.667
506,506,19.08.2019,271.763
507,507,18.08.2019,271.151
508,508,16.08.2019,271.573
509,509,15.08.2019,273.473
510,510,14.08.2019,273.732
511,511,13.08.2019,268.984
512,512,12.08.2019,270.502
513,513,11.08.2019,265.282
514,514,09.08.2019,264.388
515,515,08.08.2019,265.266
516,516,07.08.2019,265.183
517,517,06.08.2019,262.501
518,518,05.08.2019,264.923
519,519,04.08.2019,256.898
520,520,02.08.2019,257.508
521,521,01.08.2019,259.168
522,522,31.07.2019,253.373
523,523,30.07.2019,255.767
524,524,29.07.2019,257.339
525,525,28.07.2019,258.335
526,526,26.07.2019,258.495
527,527,25.07.2019,259.415
528,528,24.07.2019,261.83
529,529,23.07.2019,260.701
530,530,22.07.2019,259.663
531,531,21.07.2019,259.187
532,532,19.07.2019,259.198
533,533,18.07.2019,260.924
534,534,17.07.2019,260.327
535,535,16.07.2019,258.175
536,536,15.07.2019,259.925
537,537,14.07.2019,260.88
538,538,12.07.2019,260.468
539,539,11.07.2019,256.964
540,540,10.07.2019,260.045
541,541,09.07.2019,256.986
542,542,08.07.2019,257.044
543,543,07.07.2019,257.685
544,544,05.07.2019,253.192
545,545,04.07.2019,255.903
546,546,03.07.2019,256.448
547,547,02.07.2019,260.118
548,548,01.07.2019,251.815
549,549,30.06.2019,256.955
550,550,28.06.2019,262.308
551,551,27.06.2019,261.91
552,552,26.06.2019,261.762
553,553,25.06.2019,264.348
554,554,24.06.2019,265.928
555,555,23.06.2019,260.805
556,556,21.06.2019,261.81
557,557,20.06.2019,257.806
558,558,19.06.2019,253.082
559,559,18.06.2019,252.17
560,560,17.06.2019,253.009
561,561,16.06.2019,254.673
562,562,14.06.2019,254.41
563,563,13.06.2019,254.023
564,564,12.06.2019,249.392
565,565,11.06.2019,247.849
566,566,10.06.2019,247.595
567,567,09.06.2019,250.809
568,568,07.06.2019,251.369
569,569,06.06.2019,248.379
570,570,05.06.2019,244.803
571,571,04.06.2019,246.154
572,572,03.06.2019,248.656
573,573,02.06.2019,246.699
574,574,31.05.2019,245.123
575,575,30.05.2019,245.359
576,576,29.05.2019,247.762
577,577,28.05.2019,248.221
578,578,27.05.2019,250.79
579,579,26.05.2019,251.193
580,580,24.05.2019,251.245
581,581,23.05.2019,252.657
582,582,22.05.2019,250.856
583,583,21.05.2019,248.577
584,584,20.05.2019,247.551
585,585,19.05.2019,249.055
586,586,17.05.2019,248.965
587,587,16.05.2019,250.4
588,588,15.05.2019,250.77
589,589,14.05.2019,251.926
590,590,13.05.2019,255.158
591,591,12.05.2019,248.017
592,592,10.05.2019,247.524
593,593,09.05.2019,254.243
594,594,08.05.2019,253.846
595,595,07.05.2019,254.443
596,596,06.05.2019,251.222
597,597,05.05.2019,247.179
598,598,03.05.2019,245.243
599,599,02.05.2019,243.785
600,600,01.05.2019,244.804
601,601,30.04.2019,246.124
602,602,29.04.2019,244.995
603,603,28.04.2019,245.805
